Company,Job_Title,Location,Salary_Range,Work_Mode,Experience_Req,Apply_Link,Posted_Date,Match_Score,Notes
Ensono,DevOps / Automation Engineer,Pune/Chennai/Bangalore,Not Disclosed,Hybrid,3-6 Yrs,https://www.ensono.com/careers/devops-engineer-2/,2 days ago,80%,"3-6 YRS! Python/Shell/PowerShell automation. ANSIBLE DOCKER JENKINS TERRAFORM - your exact stack!"
TCS,DevOps (Terraform) Engineer,Pune,INR 5L-9L (Glassdoor),Not Disclosed,Mid-level,https://www.glassdoor.co.in/job-listing/devops-terraform-engineer-tata-consultancy-services-JV_IC2856202_KO0,25_KE26,51.htm?jl=1010104792389,29 days ago,80%,"TERRAFORM FOCUSED - your strongest skill! Apply on Glassdoor"
Barclays,DevOps Engineer,Pune,INR 8L-9L (Glassdoor),In-Office,Mid-level,https://search.jobs.barclays/job/pune/dev-ops-engineer/13015/90335603920,6 hours ago,70%,"Ansible AWS Azure Bash Chef Docker Jenkins Python Terraform - your skills! Apply on Barclays site"
Barclays,Network Toolsets DevOps Engineer,Pune,Not Disclosed,In-Office,Mid-level,https://builtinpune.in/jobs/dev-engineering/search/devops-engineer,1 day ago,65%,"CI/CD Python Kubernetes - new posting! Search Barclays on BuiltIn"
Accenture,Cloud Operations Engineer,Pune,Not Disclosed,Not Disclosed,3+ Yrs,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5204619-S1915197_en,Active,65%,"AWS Admin focus - apply on Accenture career site"
Accenture,DevOps Engineer (Terraform/Azure),Pune,Not Disclosed,Not Disclosed,2-5 Yrs,https://www.accenture.com/us-en/careers/jobdetails?id=ATCI-5526134-S2020406_en,Active,70%,"TERRAFORM AZURE CI/CD PIPELINES - better fit! Apply on Accenture site"
BMC Software,Sr DevOps Engineer,India (Pune),INR 21L (Employer),Hybrid,Senior,https://jobs.bmc.com/Careers/JobDetail/Sr-DevOps-Engineer-India/46585,2 days ago,65%,"HIGH SALARY! CI/CD+Azure+Go+K8s - aspirational but apply! New posting Apr 10"
Capgemini,AWS DevOps Engineer,Pune,INR 4L-6L (Glassdoor),Not Disclosed,Mid-Level,https://careers.capgemini.com/job/Pune-AWS-Devops-Engineer/1388245333/,8 days ago,60%,"AWS-focused but CI/CD+Docker+Terraform match. Apply on Capgemini careers"
Capgemini,SRE DevOps Engineer,Pune/Hyderabad/Chennai,Not Disclosed,Hybrid,5-9 Yrs,https://www.naukri.com/job-listings-sre-devops-engineer-capgemini-hyderabad-pune-chennai-5-to-9-years-210426045654,3 weeks ago,55%,"Multi-cloud+IaC+GitHub Actions - aspirational. Apply on Naukri"
Capco,Azure DevOps Engineer,Bangalore/Chennai,Not Disclosed,Hybrid/Remote,7+ Yrs,https://job-boards.greenhouse.io/capco/jobs/7727164,Active,60%,"AZURE focused but needs 7+ Yrs. Still apply - you have 3 Yrs Azure exp!"
Citi,Senior DevOps Engineer AVP,Pune (Hybrid),Not Disclosed,Hybrid,Senior,https://jobs.citi.com/job/pune/senior-devops-engineer-assistant-vice-president/287/94776560112,May 6 2026,60%,"NEW! Citi hiring Sr DevOps - Pune Hybrid. Apply now!"
Luxoft,DevOps Engineer,Pune,INR 5L-8L (Glassdoor),Not Disclosed,Not Listed,https://career.luxoft.com/jobs/devops-engineer-24013,Active,60%,"Azure + troubleshooting - apply on Luxoft careers"
Quest Global,Sr Infrastructure/Platform Engineer,Pune,INR 4L-6L (Glassdoor),Not Disclosed,6+ Yrs,https://www.glassdoor.co.in/job-listing/senior-infrastructure-platform-engineer-devops-gcp-quest-global-JV_IC2856202_KO0,50_KE51,63.htm?jl=1010126740463,4 days ago,45%,"Platform Engineer role - aspirational, needs K8s+GCP"
Madhive,DevOps Engineer,Pune (Remote),Not Disclosed,Remote,3+ Yrs,https://wellfound.com/role/l/devops-engineer/pune,1 week ago,55%,"Startup! Remote Pune DevOps - apply on Wellfound"
Global Payments Inc.,Associate DevOps Engineer Consultant,Pune,Not Disclosed,In-Office,Mid-Level,https://builtinpune.in/jobs/dev-engineering/search/devops-engineer,23 hours ago,60%,"Search Global Payments on BuiltIn Pune. CI/CD+Docker+K8s+Terraform"
LogicMonitor,Senior DevOps Engineer AI,Pune (Hybrid),Not Disclosed,Hybrid,4+ Yrs,https://wellfound.com/company/logicmonitor,Active,85%,"Uses Ansible+Terraform+Azure+Docker+Python - YOU KNOW LOGICMONITOR! Best cultural fit"
